ID;Name;First_name;Last_name;Birthdate;Age;Age_int;Age_years;Residence_municipality;Residence_Province;Gender;Marital_status;Educational_attainment;Workforce;Professional_segment;Nr_missing_values;Contract_length
7498;Ruben de Haas;Ruben;de Haas;16-8-1997;21,5444824;21;21 jaar;Goes;Zeeland;man;Ongehuwd;Havo, vwo;0;;0;2,97
7499;Jelle van Duinen;Jelle;van Duinen;25-10-1952;66,38165451;66;66 jaar;Utrecht (gemeente);Utrecht;;;;;;4;19,21
7500;Max  Pols;Max;Pols;17-3-1988;30,96551944;30;30 jaar;Dordrecht;Zuid-Holland;man;Gehuwd;Mbo2 en mbo3;1;053 Managers productie en gespecialis...;0;5,13
7501;Elmer van Esch;Elmer;van Esch;15-6-1939;79,75356608;79;79 jaar;Den Helder;Noord-Holland;man;Gehuwd;Basisonderwijs;0;;0;2,06
7502;Wendy  Gommans;Wendy;Gommans;23-10-1947;71,39415392;71;71 jaar;Heerhugowaard;Noord-Holland;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;19,32
7503;Yassine van Ginkel;Yassine;van Ginkel;14-10-1983;35,39257246;35;35 jaar;Enkhuizen;Noord-Holland;man;Ongehuwd;Hbo-, wo-master, doctor;0;;0;2,63
7504;Coen  Willems;Coen;Willems;14-9-1954;64,49511002;64;64 jaar;Maastricht;Limburg;man;Gescheiden;Hbo-, wo-master, doctor;1;043 Administratief personeel;0;5,14
7505;Dilan  Rosier;Dilan;Rosier;27-5-1978;40,78003992;40;40 jaar;Venlo;Limburg;;;;;;4;2,58
7506;Rosanne  Klaassen;Rosanne;Klaassen;5-3-1972;47,01078864;47;47 jaar;Rheden;Gelderland;vrouw;;;;;3;0,55
7507;Sara  Buursma;Sara;Buursma;6-12-1981;37,24680228;37;37 jaar;Middelburg (Z.);Zeeland;vrouw;;Hbo-, wo-bachelor;;;2;18,67
7508;Cesar  Okkema;Cesar;Okkema;6-8-1924;94,62017889;94;94 jaar;Zaanstad;Noord-Holland;;;;;;4;14,04
7509;Bart van der Meij;Bart;van der Meij;19-6-1961;57,72727303;57;57 jaar;'s-Hertogenbosch;Noord-Brabant;man;Gehuwd;Vmbo-b/k, mbo1;1;072 Vakspecialisten natuur en techniek;0;2,14
7510;Pieter van Duin;Pieter;van Duin;12-7-1942;76,6786568;76;76 jaar;Heemstede;Noord-Holland;;;;;;4;0,06
7511;Hendricus  Peters;Hendricus;Peters;11-9-1986;32,47975396;32;32 jaar;Rotterdam;Zuid-Holland;man;Gehuwd;Hbo-, wo-bachelor;1;074 Metaalarbeiders, machinemonteurs;0;1,98
7512;Ashley van Amstel;Ashley;van Amstel;21-12-2000;18,19257589;18;18 jaar;Utrecht (gemeente);Utrecht;man;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;0,19
7513;Marinus  Grobbe;Marinus;Grobbe;18-11-1983;35,2967396;35;35 jaar;Lelystad;Flevoland;;;;;;4;2,82
7514;Ramon  Elzinga;Ramon;Elzinga;11-4-1995;23,89441802;23;23 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Ongehuwd;Mbo2 en mbo3;0;;0;1,84
7515;Wesley  Rodenhuis;Wesley;Rodenhuis;17-8-1968;50,56000136;50;50 jaar;Zoetermeer;Zuid-Holland;man;Gehuwd;Hbo-, wo-master, doctor;1;054 Managers horeca, detailhandel en.;0;13,67
7516;Mohamed van Wieringen;Mohamed;van Wieringen;5-1-1998;21,15391792;21;21 jaar;Rotterdam;Zuid-Holland;man;Ongehuwd;Mbo2 en mbo3;0;;0;0,05
7517;Gabriella de Vreeze;Gabriella;de Vreeze;4-12-1990;28,24681336;28;28 jaar;Schagen;Noord-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;111 Medewerkers persoonlijke dienstve...;0;2,95
7518;Mohammed van der Meer;Mohammed;van der Meer;23-6-1962;56,71667328;56;56 jaar;De Marne;Groningen;man;Gescheiden;Hbo-, wo-bachelor;1;121 Bestuurders voertuigen en bediene...;0;1,64
7519;Tom  Hageman;Tom;Hageman;4-8-1982;36,58879349;36;36 jaar;Zwijndrecht;Zuid-Holland;;Gehuwd;;;;3;1,08
7520;Hassan  Uiterwaal;Hassan;Uiterwaal;7-2-1963;56,08879193;56;56 jaar;De Fryske Marren;Friesland;man;Gehuwd;Hbo-, wo-master, doctor;1;091 Tuinders, akkerbouwers en veetelers;0;2,07
7521;Kelly van Nes;Kelly;van Nes;21-7-1939;79,65558125;79;79 jaar;Medemblik;Noord-Holland;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;5,73
7522;Thomas  Janssen;Thomas;Janssen;21-7-1987;31,62232999;31;31 jaar;Uithoorn;Noord-Holland;man;Ongehuwd;;;;2;13,04
7523;Axel  Hagendoorn;Axel;Hagendoorn;27-4-1977;41,86027749;41;41 jaar;Tilburg;Noord-Brabant;;;Hbo-, wo-bachelor;1;053 Managers productie en gespecialis...;2;0,14
7524;Jakob  Wiersma;Jakob;Wiersma;25-7-1983;35,61544375;35;35 jaar;'s-Hertogenbosch;Noord-Brabant;man;;Hbo-, wo-bachelor;1;112 Schoonmakers en keukenhulpen;1;1,89
7525;Jasper den Hartigh;Jasper;den Hartigh;20-10-1981;37,37709543;37;37 jaar;Landerd;Noord-Brabant;;;;;;4;1,18
7526;Marloes  Benedictus;Marloes;Benedictus;15-5-1987;31,80654337;31;31 jaar;Edam-Volendam;Noord-Holland;;;;;;4;1,12
7527;Ike  Janssen;Ike;Janssen;28-12-1977;41,18984658;41;41 jaar;Nuenen, Gerwen en Nederwetten;Noord-Brabant;;;;;;4;2,89
7528;Asmara de Kok;Asmara;de Kok;19-6-1974;44,71870301;44;44 jaar;Leeuwarden;Friesland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;031 Adviseurs marketing, public relat.;0;19,74
7529;Matthijs  Kamerling;Matthijs;Kamerling;7-1-1997;22,14895479;22;22 jaar;Westland;Zuid-Holland;;;;;;4;4,09
7530;Cornelis  Struijs;Cornelis;Struijs;23-6-1964;54,71236932;54;54 jaar;Renkum;Gelderland;man;Gehuwd;Mbo4;;;1;5,36
7531;Ryan van Wijk;Ryan;van Wijk;9-4-1979;39,91053581;39;39 jaar;Baarn;Utrecht;man;Gehuwd;Basisonderwijs;1;121 Bestuurders voertuigen en bediene...;0;20,16
7532;Maartje van Dael;Maartje;van Dael;28-12-1943;75,21625235;75;75 jaar;Roermond;Limburg;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;19,81
7533;Romy  Kanhai;Romy;Kanhai;10-8-1945;73,59483004;73;73 jaar;Wassenaar;Zuid-Holland;vrouw;Verweduwd;Vmbo-b/k, mbo1;0;;0;7,15
7534;Selen  Scheerder;Selen;Scheerder;10-5-1985;33,82083043;33;33 jaar;Breda;Noord-Brabant;vrouw;Ongehuwd;Mbo4;1;031 Adviseurs marketing, public relat.;0;6,33
7535;Wouter van Engelen;Wouter;van Engelen;5-5-1961;57,851387;57;57 jaar;Middelburg (Z.);Zeeland;man;Gehuwd;Hbo-, wo-master, doctor;1;011 Docenten;0;1,13
7536;Sera  Lucassen;Sera;Lucassen;3-7-1958;60,69046698;60;60 jaar;Ede;Gelderland;vrouw;Gescheiden;Mbo2 en mbo3;1;043 Administratief personeel;0;3,19
7537;Moreno  Stegeman;Moreno;Stegeman;11-7-1928;90,68777947;90;90 jaar;Tytsjerksteradiel;Friesland;man;Gehuwd;Basisonderwijs;0;;0;5,11
7538;Renée de Haan;Renée;de Haan;12-2-1981;38,06196326;38;38 jaar;Amsterdam;Noord-Holland;vrouw;;;;;3;1,98
7539;Lorenzo  Roks;Lorenzo;Roks;20-3-1958;60,97889151;60;60 jaar;Goirle;Noord-Brabant;;Gehuwd;Hbo-, wo-bachelor;1;074 Metaalarbeiders, machinemonteurs;1;15,4
7540;Didi  Bor;Didi;Bor;23-3-1989;29,94886556;29;29 jaar;Noordoostpolder;Flevoland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;104 Sociaal werkers, groeps- en woonb...;0;1,83
7541;Nicky  Timmer;Nicky;Timmer;5-5-1967;51,84765022;51;51 jaar;Amsterdam;Noord-Holland;;;;;;4;19,99
7542;Ruben  Rood;Ruben;Rood;27-9-1979;39,44231804;39;39 jaar;Deventer;Overijssel;man;;;1;063 Beveiligingswerkers;2;20,86
7543;Leona van Veldhuizen;Leona;van Veldhuizen;30-11-1980;38,26512452;38;38 jaar;Geldermalsen;Gelderland;vrouw;Gehuwd;Hbo-, wo-master, doctor;1;052 Managers op administratief en com...;0;2,04
7544;Sanne  Geerts;Sanne;Geerts;2-7-1958;60,69548586;60;60 jaar;Aa en Hunze;Drenthe;;;Hbo-, wo-bachelor;;;3;1,18
7545;Roos  Rutten;Roos;Rutten;15-6-1993;25,7169362;25;25 jaar;Beesel;Limburg;vrouw;Ongehuwd;Mbo4;1;101 Artsen, therapeuten en gespeciali...;0;7,14
7546;Lisa  Stevens;Lisa;Stevens;26-8-1938;80,55853471;80;80 jaar;Vaals;Limburg;;;;;;4;0,6
7547;Renske  Timmer;Renske;Timmer;24-1-1937;82,14307329;82;82 jaar;Helmond;Noord-Brabant;vrouw;;;;;3;7,4
7548;Benthe van der Heijden;Benthe;van der Heijden;12-8-1947;71,5892313;71;71 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;1,05
7549;Stephan den Os;Stephan;den Os;7-5-1948;70,85295566;70;70 jaar;Leerdam;Zuid-Holland;man;Gehuwd;Mbo2 en mbo3;0;;0;16,37
7550;Jenna  Klootwijk;Jenna;Klootwijk;1-3-1961;58,02827438;58;58 jaar;Doetinchem;Gelderland;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;14,23
7551;Kim de Ruiter;Kim;de Ruiter;27-2-1964;55,03485674;55;55 jaar;Rotterdam;Zuid-Holland;vrouw;Gescheiden;Vmbo-b/k, mbo1;1;033 Verkopers;0;6,9
7552;Shannon de Vries;Shannon;de Vries;7-1-1977;42,16395175;42;42 jaar;Amsterdam;Noord-Holland;vrouw;;;;;3;2,04
7553;Mirjam  Niessen;Mirjam;Niessen;20-11-1995;23,28333958;23;23 jaar;Baarle-Nassau;Noord-Brabant;vrouw;Ongehuwd;Hbo-, wo-bachelor;;;1;0,09
7554;Stefano  Ünal;Stefano;Ünal;31-8-1956;62,53127117;62;62 jaar;Diemen;Noord-Holland;man;;;;;3;0,78
7555;Anita  Karssen;Anita;Karssen;11-3-1988;30,98228202;30;30 jaar;Houten;Utrecht;vrouw;Ongehuwd;Hbo-, wo-bachelor;;;1;4,32
7556;Steven  Tol;Steven;Tol;28-5-1961;57,78650779;57;57 jaar;Ede;Gelderland;man;Gehuwd;Mbo2 en mbo3;1;043 Administratief personeel;0;4,31
7557;Robyn van den Berghe;Robyn;van den Berghe;29-5-1987;31,76796263;31;31 jaar;Pijnacker-Nootdorp;Zuid-Holland;vrouw;Ongehuwd;Mbo2 en mbo3;1;103 Vakspecialisten gezondheidszorg;0;0,65
7558;Frank van Winkel;Frank;van Winkel;2-9-1988;30,50253406;30;30 jaar;Baarle-Nassau;Noord-Brabant;man;;Havo, vwo;1;043 Administratief personeel;1;1,25
7559;Johanna  Warnier;Johanna;Warnier;21-5-1963;55,80550937;55;55 jaar;Zoetermeer;Zuid-Holland;vrouw;Ongehuwd;Mbo2 en mbo3;1;052 Managers op administratief en com...;0;5,59
7560;Devlin  Bekkema;Devlin;Bekkema;13-7-1975;43,65464848;43;43 jaar;Molenwaard;Zuid-Holland;;;;;;4;0,14
7561;Jaap van Ingen;Jaap;van Ingen;13-5-1932;86,84808262;86;86 jaar;Groningen (gemeente);Groningen;man;Gehuwd;Vmbo-b/k, mbo1;0;;0;2,53
7562;Rens  Berentsen;Rens;Berentsen;10-2-1980;39,06994668;39;39 jaar;Ermelo;Gelderland;;;;;;4;14,51
7563;Caressa de Jonge;Caressa;de Jonge;26-7-2000;18,59880613;18;18 jaar;Oosterhout;Noord-Brabant;vrouw;Gescheiden;Havo, vwo;0;;0;0,31
7564;Maximiliaan van der Meer;Maximiliaan;van der Meer;4-1-1968;51,1790845;51;51 jaar;Utrechtse Heuvelrug;Utrecht;man;Verweduwd;Hbo-, wo-master, doctor;0;;0;16,69
7565;Céline van Driel;Céline;van Driel;31-8-1999;19,5028476;19;19 jaar;Goes;Zeeland;vrouw;Ongehuwd;Basisonderwijs;0;;0;0,92
7566;Brenda  Laan;Brenda;Laan;13-7-1965;53,65926254;53;53 jaar;Katwijk;Zuid-Holland;vrouw;Ongehuwd;Havo, vwo;1;104 Sociaal werkers, groeps- en woonb...;0;1,64
7567;Jody van Hensbergen;Jody;van Hensbergen;14-9-1940;78,5038192;78;78 jaar;Opmeer;Noord-Holland;vrouw;Gehuwd;Basisonderwijs;0;;0;1,05
7568;Madelène  Römer;Madelène;Römer;8-6-1960;58,75621349;58;58 jaar;Aa en Hunze;Drenthe;vrouw;Gehuwd;;1;105 Verzorgenden;1;8,82
7569;Marjolijn  Menten;Marjolijn;Menten;7-9-1956;62,51128713;62;62 jaar;Valkenswaard;Noord-Brabant;;Gehuwd;Vmbo-b/k, mbo1;0;;1;5,62
7570;Wessel de Vries;Wessel;de Vries;29-6-1990;28,67973247;28;28 jaar;Boxmeer;Noord-Brabant;;Ongehuwd;Mbo2 en mbo3;;;2;2,89
7571;Esther  Cats;Esther;Cats;28-5-1950;68,79648594;68;68 jaar;Langedijk;Noord-Holland;;;Basisonderwijs;;;3;3,46
7572;Emiel van Meerten;Emiel;van Meerten;10-3-1953;66,01072411;66;66 jaar;Waalwijk;Noord-Brabant;man;Gehuwd;;;;2;2,98
7573;Nikita de Wit;Nikita;de Wit;24-11-1940;78,30900541;78;78 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;3,46
7574;Veronique de Jong;Veronique;de Jong;1-12-1986;32,25888679;32;32 jaar;Tynaarlo;Drenthe;;;;1;103 Vakspecialisten gezondheidszorg;3;0,19
7575;Burçin  Poppelaars;Burçin;Poppelaars;21-6-1936;82,7385251;82;82 jaar;Hellevoetsluis;Zuid-Holland;;;;;;4;0,47
7576;Wouter  Rietbergen;Wouter;Rietbergen;10-3-1989;29,98568407;29;29 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Ongehuwd;Vmbo-b/k, mbo1;0;;0;0,65
7577;Niek  Boonen;Niek;Boonen;11-10-1943;75,4286584;75;75 jaar;De Ronde Venen;Utrecht;;;;;;4;12,32
7578;Joeke van Gerven;Joeke;van Gerven;16-9-1962;56,48406651;56;56 jaar;Leudal;Limburg;man;Gehuwd;Hbo-, wo-master, doctor;1;011 Docenten;0;1,81
7579;Sem  Hovens;Sem;Hovens;24-12-1981;37,19963793;37;37 jaar;Amsterdam;Noord-Holland;vrouw;Ongehuwd;Mbo2 en mbo3;1;011 Docenten;0;3,97
7580;Samira de Visser;Samira;de Visser;20-10-1942;76,40364932;76;76 jaar;Rotterdam;Zuid-Holland;vrouw;;;0;;2;1,62
7581;Hidde  Winkel;Hidde;Winkel;29-8-1999;19,5094187;19;19 jaar;Rotterdam;Zuid-Holland;man;Ongehuwd;Vmbo-b/k, mbo1;0;;0;0,93
7582;Celine  Post;Celine;Post;5-11-1972;46,3388286;46;46 jaar;Aalten;Gelderland;vrouw;Gescheiden;Hbo-, wo-master, doctor;1;103 Vakspecialisten gezondheidszorg;0;1,12
7583;Marvin van de Wege;Marvin;van de Wege;10-12-1931;87,27388931;87;87 jaar;Weert;Limburg;man;Gehuwd;Mbo2 en mbo3;0;;0;2,17
7584;Robert  Özer;Robert;Özer;23-7-1973;45,62518113;45;45 jaar;Oldambt;Groningen;man;Gehuwd;Mbo4;1;062 Juristen;0;1,64
7585;Denise  Broens;Denise;Broens;18-10-1999;19,37126707;19;19 jaar;Amsterdam;Noord-Holland;;;;;;4;0,79
7586;Megan  Vogels;Megan;Vogels;3-3-1967;52,02158473;52;52 jaar;Haarlem;Noord-Holland;vrouw;Gescheiden;Hbo-, wo-bachelor;1;043 Administratief personeel;0;18,89
7587;Michèle van Alfen;Michèle;van Alfen;27-12-1955;63,21060033;63;63 jaar;Purmerend;Noord-Holland;vrouw;Gescheiden;Basisonderwijs;1;051 Algemeen directeuren;0;1,64
7588;Wout  Flinterman;Wout;Flinterman;24-8-1942;76,56018212;76;76 jaar;Velsen;Noord-Holland;;;;;;4;5,66
7589;Kevin van Es;Kevin;van Es;23-1-1959;60,13357977;60;60 jaar;Reimerswaal;Zeeland;man;Gehuwd;Vmbo-b/k, mbo1;1;031 Adviseurs marketing, public relat.;0;0,36
7590;Jim  Nijhof;Jim;Nijhof;24-7-2000;18,60366454;18;18 jaar;Achtkarspelen;Friesland;man;;;;;3;0,03
7591;Elizabeth  IJkema;Elizabeth;IJkema;17-3-1990;28,96549846;28;28 jaar;Rotterdam;Zuid-Holland;;;;;;4;10,39
7592;Thijs  Meijer;Thijs;Meijer;30-11-1990;28,2592162;28;28 jaar;Rotterdam;Zuid-Holland;;;;;;4;0,96
7593;Raoel  Pols;Raoel;Pols;25-3-1945;73,9730114;73;73 jaar;Langedijk;Noord-Holland;man;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;9,32
7594;Jeroen  Borg;Jeroen;Borg;25-12-1979;39,1973331;39;39 jaar;Amsterdam;Noord-Holland;;;;;;4;1,15
7595;Nick van Verseveld;Nick;van Verseveld;21-10-1965;53,38368386;53;53 jaar;Amsterdam;Noord-Holland;;;;;;4;0,14
7596;Kaylee van der Laan;Kaylee;van der Laan;4-4-1966;52,93226766;52;52 jaar;Breda;Noord-Brabant;vrouw;Gehuwd;Mbo4;1;105 Verzorgenden;0;16,57
7597;Ali  Hussein;Ali;Hussein;16-8-1942;76,58122884;76;76 jaar;Utrecht (gemeente);Utrecht;man;Gehuwd;Vmbo-b/k, mbo1;0;;0;2,09
7598;Nick  Heemskerk;Nick;Heemskerk;27-3-1950;68,964999;68;68 jaar;Zutphen;Gelderland;;Gescheiden;Mbo2 en mbo3;;;2;3,52
7599;Jurgen  Fase;Jurgen;Fase;13-11-2000;18,29783864;18;18 jaar;Zoetermeer;Zuid-Holland;;;;;;4;0,3
7600;Bart  Krijger;Bart;Krijger;14-10-2000;18,37842369;18;18 jaar;Leidschendam-Voorburg;Zuid-Holland;man;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;0,38
7601;Noël  Bosman;Noël;Bosman;26-7-1937;81,64298238;81;81 jaar;Simpelveld;Limburg;man;;Vmbo-b/k, mbo1;;;2;20,63
7602;Paulien van Tilburg;Paulien;van Tilburg;25-9-1956;62,46225046;62;62 jaar;Westland;Zuid-Holland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;043 Administratief personeel;0;0,13
7603;Michael  Sterk;Michael;Sterk;26-12-1971;47,2011755;47;47 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;5,06
7604;Janine  Stassen;Janine;Stassen;5-10-1992;26,40915768;26;26 jaar;Leusden;Utrecht;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;105 Verzorgenden;0;7,83
7605;Robin  Kuipers;Robin;Kuipers;17-10-1989;29,38020566;29;29 jaar;Eindhoven;Noord-Brabant;man;Ongehuwd;;0;;1;2,88
7606;Cody van Lieshout;Cody;van Lieshout;26-5-1993;25,77144017;25;25 jaar;Zoetermeer;Zuid-Holland;man;Ongehuwd;Hbo-, wo-master, doctor;1;073 Bouwarbeiders;0;1,39
7607;Eva  Lansbergen;Eva;Lansbergen;1-9-1977;41,51464228;41;41 jaar;Westland;Zuid-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;1,1
7608;Alyssa van Meijeren;Alyssa;van Meijeren;13-6-1993;25,72090235;25;25 jaar;Rotterdam;Zuid-Holland;vrouw;Ongehuwd;Basisonderwijs;1;043 Administratief personeel;0;3,05
7609;Marcel  Klopper;Marcel;Klopper;18-2-1947;72,06975477;72;72 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Gehuwd;Mbo4;1;033 Verkopers;0;0,78
7610;Jeroen  Wijsman;Jeroen;Wijsman;23-9-1960;58,46524298;58;58 jaar;Maasdriel;Gelderland;man;Gehuwd;;;;2;2,14
7611;Evy van Zwol;Evy;van Zwol;26-10-1976;42,36178674;42;42 jaar;Leiden;Zuid-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;042 Vakspecialisten bedrijfsbeheer en...;0;22,11
7612;Larissa  Koornneef;Larissa;Koornneef;31-12-1961;57,19359129;57;57 jaar;Capelle aan den IJssel;Zuid-Holland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;111 Medewerkers persoonlijke dienstve...;0;0,14
7613;Maria  Offenberg;Maria;Offenberg;15-6-1948;70,7453278;70;70 jaar;Grave;Noord-Brabant;vrouw;;Mbo2 en mbo3;0;;1;2,62
7614;Geoffrey  Pieterse;Geoffrey;Pieterse;3-2-1947;72,10993815;72;72 jaar;Ede;Gelderland;man;Gehuwd;Hbo-, wo-bachelor;1;074 Metaalarbeiders, machinemonteurs;0;13,82
7615;Hicham  Kras;Hicham;Kras;25-3-1976;42,95098301;42;42 jaar;Bunnik;Utrecht;;;;;;4;2,06
7616;Daphne  Blom;Daphne;Blom;21-11-1953;65,30789547;65;65 jaar;Groningen (gemeente);Groningen;;;;;;4;19,64
7617;Hendrick  Weijts;Hendrick;Weijts;21-1-1948;71,14737277;71;71 jaar;Nissewaard;Zuid-Holland;man;;;;;3;4,9
7618;Sally  Sital;Sally;Sital;12-6-1936;82,76356513;82;82 jaar;Vianen;Utrecht;vrouw;Ongehuwd;Vmbo-b/k, mbo1;0;;0;13,93
7619;Constantijn  Smit;Constantijn;Smit;25-6-1957;61,71267462;61;61 jaar;Wageningen;Gelderland;;;;1;103 Vakspecialisten gezondheidszorg;3;2,62
7620;Natalja  Schrijver;Natalja;Schrijver;3-12-1935;83,28990347;83;83 jaar;Wijchen;Gelderland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;1,64
7621;Krishna  Pouwels;Krishna;Pouwels;2-9-1983;35,5079668;35;35 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Gehuwd;Hbo-, wo-bachelor;1;131 Beroepssegment overig;0;1,52
7622;Martijn  Feenstra;Martijn;Feenstra;22-7-1951;67,64468083;67;67 jaar;Zwolle;Overijssel;man;Gehuwd;Hbo-, wo-master, doctor;0;;0;3,07
7623;Donna  Postma;Donna;Postma;22-11-1980;38,28642981;38;38 jaar;Groningen (gemeente);Groningen;vrouw;Ongehuwd;Mbo4;1;033 Verkopers;0;1,55
7624;Ivana  Westerman;Ivana;Westerman;3-11-1959;59,35348641;59;59 jaar;Heerde;Gelderland;vrouw;Gehuwd;Mbo4;1;041 Specialisten bedrijfsbeheer en ad.;0;0,73
7625;Jeremy  Huijs;Jeremy;Huijs;12-12-1961;57,24644079;57;57 jaar;Oisterwijk;Noord-Brabant;man;Gescheiden;Vmbo-b/k, mbo1;1;081 Specialisten ICT;0;2,29
7626;Brandon  Westerdijk;Brandon;Westerdijk;4-1-1989;30,16380836;30;30 jaar;Heerenveen;Friesland;man;;Hbo-, wo-master, doctor;1;061 Overheidsambtenaren en -bestuurders;1;5,21
7627;Hendrik  Heijkamp;Hendrik;Heijkamp;6-11-1988;30,32546067;30;30 jaar;Venray;Limburg;man;;;;;3;2,97
7628;Linda  Klaver;Linda;Klaver;28-5-1999;19,7639594;19;19 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Havo, vwo;0;;0;1,19
7629;Vivian van Olphen;Vivian;van Olphen;27-4-1956;62,87668245;62;62 jaar;Alphen aan den Rijn;Zuid-Holland;vrouw;Gehuwd;Basisonderwijs;0;;0;12,09
7630;Gerrit-Jan  Demirel;Gerrit-Jan;Demirel;24-8-1944;74,55638329;74;74 jaar;Westervoort;Gelderland;man;Gehuwd;Havo, vwo;0;;0;0,39
7631;Anika  Karstens;Anika;Karstens;21-9-1992;26,4466231;26;26 jaar;Rotterdam;Zuid-Holland;;;;;;4;7,31
7632;Mathieu  Klepper;Mathieu;Klepper;16-8-1994;24,54604168;24;24 jaar;Tholen;Zeeland;;;;;;4;1,22
7633;Eliana  Vermanen;Eliana;Vermanen;13-8-1988;30,55869986;30;30 jaar;Valkenswaard;Noord-Brabant;vrouw;Gehuwd;Hbo-, wo-master, doctor;1;103 Vakspecialisten gezondheidszorg;0;2,75
7634;Rebecca  Boonen;Rebecca;Boonen;16-5-1974;44,81281606;44;44 jaar;Steenwijkerland;Overijssel;vrouw;Ongehuwd;Mbo4;1;031 Adviseurs marketing, public relat.;0;1
7635;Jelani  Pape;Jelani;Pape;19-10-1955;63,39820544;63;63 jaar;Nissewaard;Zuid-Holland;;;;;;4;0,88
7636;Johanna  Buis;Johanna;Buis;6-12-1927;91,28535236;91;91 jaar;Terneuzen;Zeeland;vrouw;Gehuwd;Basisonderwijs;0;;0;1,36
7637;Rabia van Genderen;Rabia;van Genderen;31-3-1959;59,94838263;59;59 jaar;Zoetermeer;Zuid-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;033 Verkopers;0;1,03
7638;Jasper de Boer;Jasper;de Boer;18-9-1996;22,4533593;22;22 jaar;Amsterdam;Noord-Holland;man;Ongehuwd;Mbo4;1;112 Schoonmakers en keukenhulpen;0;0,69
7639;Imme  Rademaker;Imme;Rademaker;12-1-1951;68,16965003;68;68 jaar;Dordrecht;Zuid-Holland;vrouw;Verweduwd;Mbo2 en mbo3;0;;0;1,47
7640;Adriana van Lagen;Adriana;van Lagen;9-11-1962;56,33480669;56;56 jaar;Baarle-Nassau;Noord-Brabant;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;043 Administratief personeel;0;0,41
7641;Robin  Wiltink;Robin;Wiltink;18-9-1956;62,48058093;62;62 jaar;Den Helder;Noord-Holland;man;;;1;103 Vakspecialisten gezondheidszorg;2;0,13
7642;Joris de Haan;Joris;de Haan;26-1-1957;62,12523294;62;62 jaar;Veenendaal;Utrecht;man;Gehuwd;Hbo-, wo-master, doctor;1;041 Specialisten bedrijfsbeheer en ad.;0;1,73
7643;Dina  Vester;Dina;Vester;8-9-1955;63,51052006;63;63 jaar;Alkmaar;Noord-Holland;vrouw;Gehuwd;Havo, vwo;0;;0;0,22
7644;Klaas  Pater;Klaas;Pater;30-9-1947;71,45523478;71;71 jaar;Zeewolde;Flevoland;man;Verweduwd;;0;;1;0,75
7645;Thijs  Maarse;Thijs;Maarse;27-7-1975;43,6146129;43;43 jaar;Waalre;Noord-Brabant;man;;Hbo-, wo-master, doctor;1;091 Tuinders, akkerbouwers en veetelers;1;7,11
7646;Merel  Aarnoudse;Merel;Aarnoudse;14-3-1991;27,975221;27;27 jaar;Bergen op Zoom;Noord-Brabant;vrouw;Ongehuwd;Hbo-, wo-bachelor;0;;0;7,83
7647;Pim  Meems;Pim;Meems;13-5-1985;33,81133832;33;33 jaar;Nijkerk;Gelderland;anders;;;;;3;2,14
7648;Charlotte van Dijk;Charlotte;van Dijk;24-10-1952;66,38528333;66;66 jaar;Krimpenerwaard;Zuid-Holland;;Gehuwd;;;;3;1,31
7649;Claudia  Koopman;Claudia;Koopman;3-7-1963;55,68832183;55;55 jaar;Alphen aan den Rijn;Zuid-Holland;vrouw;;Hbo-, wo-bachelor;;;2;1,09
7650;Elly  Vollebregt;Elly;Vollebregt;25-7-1967;51,62502509;51;51 jaar;Berkelland;Gelderland;;;;;;4;1,67
7651;Aysu  Raap;Aysu;Raap;20-12-1947;71,23416631;71;71 jaar;Rotterdam;Zuid-Holland;vrouw;;;;;3;1,77
